symbol,name,available,close,return1d,return20d,return60d,volatility60d,amount,amountPercentile252d,turnoverRate,etfShare,etfShareChange20d,etfPremiumDiscount,mainNetInflow,northNetInflow
159915,创业板ETF易方达,True,3.977,-0.029999999999999916,0.044929059379926306,0.24242424242424243,,5925661224.953,0.8452380952380952,14.19,,0.0834100893319325,0.0,-1815337707.0674503,
510300,沪深300ETF,True,4.843,-0.016849370686155107,-0.008800654932460072,0.046230287319075414,,3023262809.0,0.3253968253968254,2.22,,0.40032833480124386,0.0,-1629275443.0870476,
510500,中证500ETF,True,8.339,-0.012902462121212155,-0.04903637815030215,-0.002034466251795042,,3619954376.0,0.7063492063492064,9.25,,0.22466004195591172,0.0,-942400009.6256592,
510880,红利ETF华泰柏瑞,True,3.321,-0.0018034265103696878,0.01839926402943881,0.0036264732547597323,,745405168.0,0.9166666666666666,3.73,,0.11506921151833827,0.0,-167021755.25512832,
511520,政金债ETF富国,True,117.821,-0.00044115276611278453,0.007240925333834802,0.017988750550808286,,1141211123.0,0.015873015873015872,2.82,,-0.03636057826095862,0.0,-675523497.691288,
512400,有色金属ETF南方,True,1.926,-0.022335025380710638,-0.12692656391659118,-0.14665485157288438,,892310074.0,0.4880952380952381,3.47,,0.010078632077756167,0.0,-566732804.8311708,
512480,半导体ETF,True,2.091,-0.046511627906976716,0.09936908517350163,0.34555984555984565,,1537021184.0,0.5634920634920635,8.67,,0.15130554698179677,0.0,-80042731.74332821,
512690,酒ETF鹏华,True,0.433,0.0,-0.09033613445378152,-0.1425742574257426,,682480154.0,0.35714285714285715,4.54,,0.2131555634712401,0.0,-565429746.4461539,
512880,证券ETF,True,1.016,-0.005870841487279899,-0.059259259259259345,-0.08633093525179858,,1798315874.0,0.3611111111111111,3.3,,0.16803549078946656,0.0,-1130467304.2505193,
518880,黄金ETF华安,True,9.252,-0.00409041980624314,-0.06356275303643721,-0.14869341185130658,,2788572679.0,0.25396825396825395,2.74,,-0.30448656397639895,0.0,8368975.706672788,
