symbol,name,action,currentWeight,targetWeight,deltaWeight,estimatedAmount,referenceClose,estimatedShares,reason
510300,沪深300ETF,持有,0.09886865974275601,0.09886865974275601,0.0,0.0,4.843,0,"继续持有，未触发交易事件: win=95.75%, payoff=82.86%, 60日动量=0.00%, 综合评分=0.900"
510500,中证500ETF,持有,0.09564362576242202,0.09564362576242202,0.0,0.0,8.339,0,"继续持有，未触发交易事件: win=95.75%, payoff=82.86%, 60日动量=0.00%, 综合评分=0.900"
510880,红利ETF华泰柏瑞,持有,0.1047894398236769,0.1047894398236769,0.0,0.0,3.321,0,"继续持有，未触发交易事件: win=95.75%, payoff=82.86%, 60日动量=0.00%, 综合评分=0.900"
511520,政金债ETF富国,持有,0.5735873656962318,0.5735873656962318,0.0,0.0,117.821,0,事件驱动风险预算: 股票ETF实际目标=30.00%，剩余仓位配置政金债/黄金；每日收盘监控，只有机会或风险事件触发交易。
518880,黄金ETF华安,持有,0.12711090897491323,0.12711090897491323,0.0,0.0,9.252,0,事件驱动风险预算: 股票ETF实际目标=30.00%，剩余仓位配置政金债/黄金；每日收盘监控，只有机会或风险事件触发交易。
