symbol,name,available,close,return1d,return20d,return60d,volatility60d,amount,amountPercentile252d,turnoverRate,etfShare,etfShareChange20d,etfPremiumDiscount,mainNetInflow,northNetInflow
159915,创业板ETF易方达,True,4.145,0.01817735200196502,0.09482303222398292,0.2928883343730504,,6853479731.095,0.9007936507936508,16.11,,0.09456008321064768,0.0,-712049842.1917248,
510300,沪深300ETF,True,4.965,0.005875202593192741,0.015752864157119406,0.06682423721529873,,3784497955.0,0.5436507936507936,2.69,,0.48004042511715617,0.0,-602079220.1136459,
510500,中证500ETF,True,8.455,0.0058291696407326565,-0.023446523446523426,0.010034643411778621,,2771012957.0,0.5912698412698413,6.89,,0.2844665522911858,0.0,-524245694.5675733,
510880,红利ETF华泰柏瑞,True,3.324,0.0048367593712213,-0.005088296917090784,0.010027347310847645,,718390296.0,0.8968253968253969,3.61,,0.1200311525655482,0.0,431034177.5999983,
511520,政金债ETF富国,True,117.981,-0.000787641648457793,0.010076709701722475,0.017867310844620787,,1362198535.0,0.03968253968253968,3.4,,-0.05549975096227533,0.0,823146708.3154117,
512400,有色金属ETF南方,True,2.032,0.008436724565756837,-0.07594361073215095,-0.1263972484952709,,1270392951.0,0.7182539682539683,4.78,,-0.011955709370492618,0.0,423464317.00000566,
512480,半导体ETF,True,2.15,0.033653846153846034,0.12388917929952936,0.35561160151324067,,2075032530.0,0.8214285714285714,11.29,,0.1653625586467411,0.0,172919377.49999616,
512690,酒ETF鹏华,True,0.444,-0.008928571428571397,-0.0691823899371069,-0.11729622266401585,,954736409.0,0.626984126984127,6.37,,0.22761165678687223,0.0,381894563.6,
512880,证券ETF,True,1.035,-0.0019286403085824189,-0.053930530164533974,-0.0734109221128022,,2075978583.0,0.5,3.82,,0.1863716719088937,0.0,109262030.68419775,
518880,黄金ETF华安,True,9.281,-0.013708820403825706,-0.05208865284444897,-0.15350237139730027,,3024667411.0,0.27380952380952384,2.95,,-0.34773925494942604,0.0,-1323291992.312437,
