symbol,name,available,close,return1d,return20d,return60d,volatility60d,amount,amountPercentile252d,turnoverRate,etfShare,etfShareChange20d,etfPremiumDiscount,mainNetInflow,northNetInflow
159915,创业板ETF易方达,True,3.964,-0.021959042684431274,0.07309149972929085,0.23681747269890785,,5325031114.0,0.753968253968254,,,0.10135008705385284,0.0,-4707636202.231885,
510300,沪深300ETF,True,4.868,-0.011172049563274333,0.009749014727235217,0.04061564771269777,,2443095510.0,0.19444444444444445,,,0.5227057317560075,0.0,-2010141875.3164244,
510500,中证500ETF,True,8.37,-0.008646215800071078,-0.006174305390643675,-0.0005970149253732293,,3439513885.0,0.6944444444444444,,,0.31782350881795995,0.0,-2821174310.1685414,
510880,红利ETF华泰柏瑞,True,3.307,0.03150343106674991,-0.011951000896325059,-0.017820017820017853,,1309404277.0,0.9920634920634921,,,0.1078279864840539,0.0,1117198144.5963302,
511520,政金债ETF富国,True,118.007,0.0008311494457589053,0.008503401360544283,0.01896192935040708,,1270319712.0,0.023809523809523808,,,-0.08011243845681948,0.0,773872928.0000978,
512400,有色金属ETF南方,True,1.949,-0.008142493638676807,-0.0892523364485982,-0.17485182049110926,,863503387.0,0.4801587301587302,,,-0.049671840252132116,0.0,-667252617.2272683,
512480,半导体ETF,True,2.046,-0.05277777777777792,0.18129330254041554,0.3123797305965361,,2347226005.0,0.8928571428571429,,,0.17474276377520592,0.0,-2236333437.8346577,
512690,酒ETF鹏华,True,0.456,-0.002188183807439792,-0.06365503080082124,-0.11456310679611648,,767470650.0,0.4444444444444444,,,0.2282084189767708,0.0,383735325.0,
512880,证券ETF,True,1.035,0.0019361084220717029,-0.03810408921933095,-0.09527972027972031,,1385419087.0,0.1746031746031746,,,0.19386440464686183,0.0,244485721.2352835,
518880,黄金ETF华安,True,9.344,-0.0056400979035863275,-0.030403652588980035,-0.17008615329958265,,2427380926.0,0.1746031746031746,,,-0.3888294776126069,0.0,-2359003998.5070796,
