symbol,name,action,currentWeight,targetWeight,deltaWeight,estimatedAmount,referenceClose,estimatedShares,reason
510300,沪深300ETF,持有,0.14624379257832887,0.14624379257832887,0.0,0.0,4.739,0,"继续持有，未触发交易事件: win=90.26%, payoff=97.08%, 60日动量=1.20%, 综合评分=0.936"
510880,红利ETF华泰柏瑞,持有,0.1511580260959652,0.1511580260959652,0.0,0.0,3.304,0,"继续持有，未触发交易事件: win=91.59%, payoff=62.80%, 60日动量=1.04%, 综合评分=0.788"
511520,政金债ETF富国,持有,0.5760621972438679,0.5760621972438679,0.0,0.0,117.64,0,事件驱动风险预算: 股票ETF实际目标=30.00%，剩余仓位配置政金债/黄金；每日收盘监控，只有机会或风险事件触发交易。
518880,黄金ETF华安,持有,0.1265359840818378,0.1265359840818378,0.0,0.0,8.953,0,事件驱动风险预算: 股票ETF实际目标=30.00%，剩余仓位配置政金债/黄金；每日收盘监控，只有机会或风险事件触发交易。
